,lsoa_code,lsoa_name_1,lsoa_name_2,middle_layer_super_output_area_msoa_code,middle_layer_super_output_area_msoa_name,local_authority_la_code,local_authority_la_name,rural_urban_settlement_classification_ru_code,rural_urban,rural_urban_settlement_classification_ru_name,built_up_area_bua_code,built_up_area_bua_name,economic_region_economic_action_plan_area_eap_code,number_of_children_0_to_5_2020,number_of_births_2020_to_mothers_24_and_under_years,number_of_births_2020_to_mothers_25_to_34_years,number_of_births_2020_to_mothers_35_and_over_years,total_number_of_births_2020,population_2020_all_ages,birth_rate_per_1000_2020,number_of_births_2019_to_mothers_24_and_under_years,number_of_births_2019_to_mothers_25_to_34_years,number_of_births_2019_to_mothers_35_and_over_years,total_number_of_births_2019,population_2019_all_ages,birth_rate_per_1000_2019,median_age_2019,number_of_births_2018_to_mothers_24_and_under_years,number_of_births_2018_to_mothers_25_to_34_years,number_of_births_2018_to_mothers_35_and_over_years,total_number_of_births_2018,population_2018_all_ages,birth_rate_per_1000_2018,number_of_births_2017_to_mothers_24_and_under_years,number_of_births_2017_to_mothers_25_to_34_years,number_of_births_2017_to_mothers_35_and_over_years,total_number_of_births_2017,population_2017_all_ages,birth_rate_per_1000_2017,wimd_decile,wimd_income_deprivation_count_0_to_4,wimd_income_domain_deciles,wimd_income_domain_people_in_income_deprivation_percentage,wimd_employment_domain_deciles,wimd_employment_domain_working_age_people_in_employment_deprivation_percentage,wimd_health_domain_deciles,wimd_health_domain_gp_recorded_chronic_condition_rate_per_100,wimd_health_domain_limiting_long_term_illness_rate_per_100,"wimd_health_domain_premature_death_rate_per_100,000",wimd_health_domain_gp_recorded_mental_health_condition_rate_per_100,"wimd_health_domain_cancer_incidence_rate_per_100,000",wimd_health_domain_low_birth_weight_live_single_births_less_than_2.5kg_percentage,wimd_health_domain_children_aged_4_to_5_who_are_obese_percentage,wimd_education_domain_deciles,wimd_education_domain_foundation_phase_average_point_score,wimd_education_domain_key_stage_2_average_point_score,wimd_education_domain_key_stage_4_average_point_score,wimd_education_domain_repeat_absenteeism_percentage,wimd_education_domain_key_stage_4_leavers_entering_higher_education_percentage,wimd_education_domain_adults_aged_25_to_64_with_no_qualifications_percentage,wimd_access_to_services_domain_deciles,wimd_access_to_services_domain_percentage_unavailability_of_broadband_at_30mb_s,wimd_access_to_services_domain_average_public_return_travel_time_to_a_pharmacy_mins,wimd_access_to_services_domain_average_public_return_travel_time_to_a_food_shop_mins,wimd_access_to_services_domain_average_public_return_travel_time_to_a_gp_surgery_mins,wimd_access_to_services_domain_average_public_return_travel_time_to_a_post_office_mins,wimd_access_to_services_domain_average_public_return_travel_time_to_a_primary_school_mins,wimd_access_to_services_domain_average_public_return_travel_time_to_a_public_library_mins,wimd_access_to_services_domain_average_public_return_travel_time_to_a_sports_facility_mins,wimd_access_to_services_domain_average_public_return_travel_time_to_a_secondary_school_mins,wimd_access_to_services_domain_average_private_return_travel_time_to_a_pharmacy_mins,wimd_access_to_services_domain_average_private_return_travel_time_to_a_food_shop_mins,wimd_access_to_services_domain_average_private_return_travel_time_to_a_gp_surgery_mins,wimd_access_to_services_domain_average_private_return_travel_time_to_a_post_office_mins,wimd_access_to_services_domain_average_private_return_travel_time_to_a_primary_school_mins,wimd_access_to_services_domain_average_private_return_travel_time_to_a_public_library_mins,wimd_access_to_services_domain_average_private_return_travel_time_to_a_sports_facility_mins,wimd_access_to_services_domain_average_private_return_travel_time_to_a_secondary_school_mins,wimd_access_to_services_domain_average_private_return_travel_time_to_a_petrol_station_mins,wimd_housing_domain_deciles,wimd_housing_domain_people_in_overcrowded_households_percentage,wimd_housing_domain_likelihood_of_poor_quality_housing_percentage,wimd_housing_domain_likelihood_of_housing_containing_serious_hazards_percentage,wimd_housing_domain_likelihood_of_housing_being_in_disrepair_percentage,wimd_physical_environment_domain_deciles,wimd_physical_environment_domain_population_weighted_average_concentration_value_for_no2,wimd_physical_environment_domain_population_weighted_average_concentration_value_for_particulates_<_10_µm,wimd_physical_environment_domain_population_weighted_average_concentration_value_for_particulates_<_2.5_µm,wimd_physical_environment_domain_households_at_risk_of_flooding_score,wimd_physical_environment_domain_proximity_to_accessible_natural_green_space_score_percentage_of_households,wimd_physical_environment_domain_ambient_green_space_score,wimd_community_safety_domain_deciles,wimd_community_safety_domain_police_recorded_criminal_damage_rate_per_100,wimd_community_safety_domain_police_recorded_violent_crime_rate_per_100,wimd_community_safety_domain_anti_social_behaviour_rate_per_100,wimd_community_safety_domain_police_recorded_burglary_rate_per_100,wimd_community_safety_domain_police_recorded_theft_rate_per_100,wimd_community_safety_domain_fire_incidences_rate_per_100,change_birth_rates_18_to_20,change_birth_rates_17_to_20,birthrate_categories_2020,mean_fpp_score,Mean FPP Score,fpp_mean_difference,fpp_performance_vsmean,fpp_mean_difference_category
577,W01000603,Pembroke Dock: Market,Pembrokeshire 013D,W02000138,Pembrokeshire 013,W06000009,Pembrokeshire,D1,Rural,Small Town and Fringe (Less Sparse),W37000105,Pembroke Dock BUA,WXX000002,128,4,8,3,15,"1,878",7.99,4,13,7,24,"1,871",12.83,41.9,9,5,3,17,"1,917",8.87,5,11,2,18,"1,938",9.29,4,23.56,5,17,4,13,5,12.7,25.6,527.8,24.8,693.5,5.3,,5,110,89,114,6.7,21.6,17.8,6,1,27,23,31,23,29,32,68,50,5,3,6,4,4,5,12,14,5,5,3.46,27.9,24.4,5.5,3,9.3,10.3,6.5,18.9,44.5,-0.235,3,1.8,2.68,4.7,0.99,0.28,0.36,Other,Other,Quintile 3,103.2931937,103,6.706806283,Outperforming,9
1602,W01001645,Liswerry 4,Newport 015D,W02000361,Newport 015,W06000022,Newport,C1,Urban,Large Town (Less Sparse),W38000147,Newport BUASD,WXX000003,98,4,5,4,13,"1,281",10.15,1,9,4,14,"1,296",10.8,36.5,6,13,3,22,"1,336",16.47,5,11,0,16,"1,320",12.12,4,26.78,4,19,6,9,5,15.3,20.4,437.9,26.1,704.3,4.9,,3,109,90,103,8.7,22.4,28.3,7,0,22,20,22,24,22,41,37,33,4,2,4,4,4,15,10,9,9,2,9.46,16.9,14.8,2.9,1,17.5,12.9,8.8,55.5,65.5,0.09,3,1.92,2.46,1.72,1.11,0.65,0.34,Consistently decreasing,Decreasing (2018-20),Quintile 4,103.2931937,103,5.706806283,Outperforming,9
186,W01000194,Denbigh Central,Denbighshire 011A,W02000052,Denbighshire 011,W06000004,Denbighshire,D1,Rural,Small Town and Fringe (Less Sparse),W37000138,Denbigh BUA,WXX000001,130,9,10,2,21,"2,112",9.94,9,10,4,23,"2,102",10.94,42.6,9,14,5,28,"2,043",13.71,7,9,2,18,"2,042",8.81,4,31.8,4,19,2,16,3,15.1,23.8,543.2,31.9,689.5,7.9,,6,108,88,119,5.4,26.1,16.1,10,0.6,18,19,20,21,23,20,30,26,2,2,2,3,4,3,5,5,3,2,6.03,31.2,28.4,6,10,5.6,9.9,5.9,11.1,79.2,0.305,2,1.77,5.44,6.01,2.34,0.24,0.29,Consistently decreasing,Decreasing (2018-20),Quintile 4,103.2931937,103,4.706806283,Outperforming,9
516,W01000542,Lledrod,Ceredigion 011F,W02000421,Ceredigion 011,W06000008,Ceredigion,E2,Rural,"Village, Hamlet and Isolated Dwellings (Sparse)",Small,Dispersed (not in a BUA),WXX000002,109,0,14,7,21,"2,171",9.67,0,9,4,13,"2,166",6,50.6,2,10,3,15,"2,149",6.98,4,5,3,12,"2,147",5.59,4,21.12,7,11,7,7,7,14,20.2,339.1,19.5,615,3.4,,7,108,90,126,5.2,33.2,15.4,1,42.4,136,107,136,121,103,163,160,141,26,10,24,11,8,53,25,27,25,1,5.24,49.2,46.2,5.6,3,3.1,7.7,5.2,40.4,39.2,0.035,9,0.3,1.02,0.89,0.57,,0.35,Other,Other,Quintile 4,103.2931937,103,4.706806283,Outperforming,9
620,W01000646,Cenarth,Carmarthenshire 003A,W02000144,Carmarthenshire 003,W06000010,Carmarthenshire,E2,Rural,"Village, Hamlet and Isolated Dwellings (Sparse)",Small,Dispersed (not in a BUA),WXX000002,102,4,5,4,13,"2,273",5.72,2,18,1,21,"2,197",9.56,52.8,7,9,4,20,"2,223",9,1,11,5,17,"2,224",7.64,4,18.7,5,16,5,10,7,12.5,22.8,314,20.8,585.6,4.2,,7,108,88,122,4,28.9,16.7,1,16,88,81,98,88,75,94,95,89,10,8,13,10,7,11,9,9,12,1,4.31,42.4,39.9,4.6,9,3.6,9.4,5.9,19.7,42.7,0.439,6,0.71,2.41,1.98,0.6,,0.45,Other,Other,Quintile 1 (lowest),103.2931937,103,4.706806283,Outperforming,9
27,W01000028,Llannerch-y-medd,Isle of Anglesey 001D,W02000001,Isle of Anglesey 001,W06000001,Isle of Anglesey,E2,Rural,"Village, Hamlet and Isolated Dwellings (Sparse)",Small,Dispersed (not in a BUA),WXX000001,147,8,10,3,21,"2,082",10.09,6,10,3,19,"2,052",9.26,44.1,5,15,5,25,"2,046",12.22,1,15,1,17,"2,004",8.48,4,31.02,5,15,5,9,6,13.6,20.6,355.5,21,607.7,7.7,,5,107,85,116,4.9,27.6,18,1,10.3,112,83,86,82,74,117,139,107,25,7,9,6,6,27,26,22,23,2,5.58,33.9,31.8,4.8,7,3.6,7.1,4.5,24.9,37.2,0.263,9,0.46,1.21,0.92,,,,Other,Other,Quintile 4,103.2931937,103,3.706806283,Outperforming,9
81,W01000086,Llanllyfni & Clynnog,Gwynedd 008B,W02000017,Gwynedd 008,W06000002,Gwynedd,E2,Rural,"Village, Hamlet and Isolated Dwellings (Sparse)",Small,Dispersed (not in a BUA),WXX000001,132,6,11,3,20,"2,310",8.66,6,11,5,22,"2,299",9.57,46.1,4,14,2,20,"2,285",8.75,6,11,7,24,"2,262",10.61,4,17.92,5,15,7,8,7,11.8,20.9,372.5,16,655.2,7.8,,7,107,90,120,3.1,31.9,17,1,20.7,108,86,93,89,55,102,116,84,11,9,12,12,7,13,14,14,14,1,5.34,50.3,46.4,5.8,7,3.4,6.7,4.4,35.2,61.6,0.374,5,0.97,2.84,2.2,0.44,,0.4,Other,Other,Quintile 3,103.2931937,103,3.706806283,Outperforming,9
132,W01000138,Eirias 1,Conwy 008A,W02000034,Conwy 008,W06000003,Conwy,C1,Urban,Large Town (Less Sparse),W38000120,Colwyn Bay BUASD,WXX000001,129,4,16,4,24,"1,794",13.38,4,12,2,18,"1,770",10.17,48.4,7,13,2,22,"1,755",12.54,5,11,3,19,"1,692",11.23,4,30.26,3,22,2,16,4,15.4,20.7,429.1,34.5,634.6,3.7,,6,107,88,120,4.9,36.7,15.9,3,0.1,27,24,41,36,53,46,70,71,5,4,7,5,3,12,7,6,4,7,4.55,13.4,12.1,2.1,10,6.7,7.9,5.4,9.9,93.7,0.344,4,1.27,3.4,2.68,0.66,0.3,,Other,Other,Quintile 5 (highest),103.2931937,103,3.706806283,Outperforming,9
563,W01000589,Milford: Hakin 1,Pembrokeshire 012A,W02000137,Pembrokeshire 012,W06000009,Pembrokeshire,C1,Urban,Large Town (Less Sparse),W37000225,Milford Haven BUA,WXX000002,107,3,5,0,8,"1,178",6.79,7,7,1,15,"1,142",13.13,36.9,0,13,1,14,"1,163",12.04,2,6,0,8,"1,178",6.79,4,19.26,3,20,4,13,4,14.9,23.6,466.2,24.9,702.8,3.9,,3,107,83,111,5.3,14.5,22.6,6,0,20,19,35,28,28,24,41,48,2,2,6,4,5,4,6,10,4,7,3.99,16.9,15.5,4,5,9.6,9.8,6.3,2.1,43.4,-0.258,5,1.06,2.02,4.14,0.68,,,Other,Other,Quintile 2,103.2931937,103,3.706806283,Outperforming,9
656,W01000685,Llanfihangel-ar-Arth 1,Carmarthenshire 001A,W02000142,Carmarthenshire 001,W06000010,Carmarthenshire,E2,Rural,"Village, Hamlet and Isolated Dwellings (Sparse)",Small,Dispersed (not in a BUA),WXX000002,117,2,10,5,17,"1,591",10.69,10,5,7,22,"1,572",13.99,47.2,3,10,6,19,"1,568",12.12,5,11,3,19,"1,582",12.01,4,21,5,15,4,11,6,12.9,22.3,417.6,20.7,542.6,5.4,,7,107,84,133,2.7,26.8,20.1,1,22,82,55,100,66,56,94,128,112,19,4,22,7,6,19,22,22,7,1,7.47,43.6,41,4.4,8,3.3,8.9,5.8,22.9,25.9,0.427,7,0.7,1.84,2.76,,,0.38,Other,Other,Quintile 4,103.2931937,103,3.706806283,Outperforming,9
969,W01001004,Felindre 1,Bridgend 009A,W02000226,Bridgend 009,W06000013,Bridgend,D1,Rural,Small Town and Fringe (Less Sparse),W37000094,Pencoed BUA,WXX000003,67,0,4,0,4,"1,127",3.55,3,9,2,14,"1,125",12.44,42.1,4,7,0,11,"1,100",10,3,8,1,12,"1,103",10.88,3,14.64,3,20,3,13,2,17.9,30,463.3,29.2,669,6.5,,6,109,89,117,5.2,40.4,34.2,9,0,21,20,22,22,24,22,23,27,3,2,3,3,4,3,4,4,3,5,5.16,17.4,16,3.2,1,11.9,11.2,7.3,92.3,86.8,0.144,4,1.02,3.12,2.28,1.38,0.77,,Other,Other,Quintile 1 (lowest),102.7225131,103,6.277486911,Outperforming,9
1010,W01001045,Porthcawl East Central 2,Bridgend 019D,W02000236,Bridgend 019,W06000013,Bridgend,C1,Urban,Large Town (Less Sparse),W37000295,Porthcawl BUA,WXX000003,93,4,9,6,19,"1,806",10.52,4,8,3,15,"1,736",8.64,47.5,6,2,2,10,"1,704",5.87,1,9,5,15,"1,728",8.68,3,26.56,4,20,2,17,4,17,24.5,357.2,28.8,641,5.3,,6,109,86,125,4.9,37.8,21.5,9,0,20,20,27,25,20,26,22,34,3,2,6,5,2,5,3,8,6,3,6.69,21.1,18.9,4.4,1,7.4,10.4,6.8,89.2,99.2,0.099,2,1.62,6.04,4.31,1.89,0.84,0.26,Consistently increasing,Increasing (2018-20),Quintile 4,102.7225131,103,6.277486911,Outperforming,9
1371,W01001410,Risca East 4,Caerphilly 016D,W02000305,Caerphilly 016,W06000018,Caerphilly,C1,Urban,Large Town (Less Sparse),W38000080,Risca BUASD,WXX000003,122,3,22,1,26,"1,839",14.14,5,14,1,20,"1,822",10.98,39.9,6,11,3,20,"1,840",10.87,6,11,2,19,"1,877",10.12,3,30.74,4,19,3,15,3,15.2,27.2,496.9,36.2,559.7,7.7,,4,108,86,115,9.5,28.5,23.1,5,1.6,29,24,26,20,24,31,31,34,6,4,5,3,4,7,6,7,6,8,6.09,10.5,9.3,1.6,3,12,11.9,8.2,23.7,84,0.14,3,1.68,2.94,1.93,1.14,0.42,0.69,Consistently increasing,Increasing (2017-20),Quintile 5 (highest),102.7225131,103,5.277486911,Outperforming,9
1562,W01001605,Allt-yr-yn 6,Newport 014A,W02000360,Newport 014,W06000022,Newport,C1,Urban,Large Town (Less Sparse),W38000147,Newport BUASD,WXX000003,98,1,8,1,10,"1,337",7.48,2,10,5,17,"1,345",12.64,41.1,3,8,2,13,"1,336",9.73,2,7,1,10,"1,331",7.51,3,21.12,3,20,3,15,3,15.8,25.8,631.9,25,704.7,9.3,,7,108,92,121,4.2,25.8,18.2,7,0,19,19,22,21,20,35,30,32,2,2,3,4,3,10,7,13,5,1,11.86,33.7,29,7.2,2,16.8,12.4,8.6,2.1,23.9,0.118,3,1.4,2.75,2.02,1.87,1.29,,Other,Other,Quintile 2,102.7225131,103,5.277486911,Outperforming,9
